user_id,age,gender,occupation,work_mode,screen_time_hours,work_screen_hours,leisure_screen_hours,sleep_hours,sleep_quality_1_5,stress_level_0_10,productivity_0_100,exercise_minutes_per_week,social_hours_per_week,mental_wellness_index_0_100
U0163,48,Female,Employed,Remote,14.06,8.92,5.14,6.17,2,8.0,40.9,120.0,10.0,17.0
U0164,40,Female,Self-employed,Office,11.92,7.67,4.25,6.3,3,6.3,39.4,111.0,6.7,34.5
U0165,25,Female,Unemployed,N/A,1.87,0.85,1.02,8.59,3,5.8,65.4,272.0,11.6,61.7
U0166,26,Male,Employed,Remote,12.3,8.74,3.56,6.64,2,3.3,35.9,120.0,9.8,48.0
U0167,24,Female,Employed,Hybrid,13.09,6.5,6.59,7.73,2,3.2,64.7,151.0,12.1,55.8
U0168,51,Female,Employed,Office,6.17,5.46,0.71,7.22,4,4.1,74.1,170.0,11.4,65.7
U0169,24,Male,Employed,Remote,12.36,9.19,3.17,7.55,3,5.8,63.7,171.0,8.3,45.4
U0170,58,Male,Student,Office,11.03,5.95,5.08,7.12,2,5.2,45.4,147.0,8.7,42.8
U0171,39,Female,Employed,Hybrid,8.58,5.81,2.77,6.44,3,7.1,50.9,152.0,8.5,40.0
U0172,60,Female,Employed,Office,7.59,3.17,4.42,7.86,5,2.1,96.9,251.0,7.4,85.2
U0173,37,Male,Employed,Remote,10.97,7.28,3.7,6.25,2,3.6,21.3,67.0,9.4,43.6
U0174,18,Female,Employed,Hybrid,10.85,6.03,4.82,6.13,3,7.1,41.7,144.0,13.6,39.2
U0175,46,Female,Employed,Hybrid,8.6,4.89,3.71,7.45,5,5.3,58.9,212.0,3.4,61.0
U0176,32,Male,Employed,Hybrid,11.96,5.74,6.22,6.92,4,5.3,50.8,108.0,7.3,47.0
U0177,39,Female,Student,Remote,7.35,3.01,4.34,8.51,4,1.3,79.3,241.0,13.7,91.0
U0178,18,Female,Self-employed,Remote,11.96,4.83,7.13,5.62,2,5.5,48.0,89.0,9.8,27.5
U0179,61,Male,Employed,Remote,5.7,4.66,1.04,7.63,3,4.8,64.9,237.0,11.4,60.1
U0180,18,Female,Employed,Hybrid,10.67,6.64,4.03,6.59,3,6.2,61.0,82.0,11.8,50.6
U0181,37,Female,Employed,Remote,7.45,5.7,1.76,8.07,4,5.0,59.1,231.0,10.2,67.4
U0182,29,Female,Employed,Remote,12.13,8.62,3.52,6.36,3,8.3,42.2,133.0,8.7,31.0
U0183,49,Male,Student,Hybrid,5.2,3.61,1.59,8.5,3,1.0,75.1,224.0,13.2,78.0
U0184,58,Female,Employed,Office,5.39,4.15,1.24,7.74,5,5.3,73.6,198.0,0.8,56.8
U0185,28,Female,Employed,Remote,6.46,5.96,0.5,7.89,5,3.8,84.1,261.0,14.4,81.8
U0186,40,Female,Employed,Remote,10.2,6.74,3.45,7.45,2,4.3,48.2,188.0,2.4,39.5
U0187,22,Male,Self-employed,Office,9.94,5.0,4.94,6.29,3,4.6,43.0,219.0,6.9,51.4
U0188,41,Male,Employed,Office,10.29,4.6,5.69,8.55,2,5.1,65.6,254.0,10.9,56.5
U0189,41,Male,Employed,Hybrid,11.29,6.16,5.14,6.21,3,5.5,48.5,73.0,2.4,41.5
U0190,46,Male,Unemployed,N/A,6.39,1.54,4.85,7.4,5,5.5,70.5,171.0,7.5,71.3
U0191,40,Female,Employed,Hybrid,12.77,8.51,4.26,6.36,3,5.9,44.0,104.0,4.2,37.6
U0192,41,Female,Retired,N/A,3.57,1.0,2.57,8.72,3,0.8,70.0,261.0,17.3,90.1
U0193,21,Female,Student,Office,7.95,2.98,4.97,6.41,3,4.2,43.2,142.0,7.8,54.2
U0194,18,Male,Self-employed,Hybrid,6.87,5.43,1.44,6.78,2,6.7,60.2,229.0,9.9,45.9
U0195,20,Male,Self-employed,Remote,10.06,7.54,2.52,6.43,3,3.9,49.4,154.0,14.7,54.1
U0196,55,Male,Employed,Remote,8.49,7.37,1.11,6.69,3,4.2,55.9,178.0,11.8,59.8
U0197,37,Female,Student,Hybrid,8.13,3.28,4.85,6.56,3,1.8,49.9,234.0,13.4,69.0
U0198,38,Female,Self-employed,Office,9.59,6.04,3.55,6.04,3,6.3,42.5,150.0,11.1,46.3
U0199,24,Female,Unemployed,N/A,2.41,0.93,1.48,7.99,4,6.6,73.6,347.0,7.8,60.0
U0200,38,Male,Unemployed,N/A,3.19,0.61,2.58,7.49,3,2.9,86.9,354.0,11.7,83.2
U0201,39,Female,Unemployed,N/A,2.72,1.23,1.5,8.46,4,5.2,72.6,312.0,9.7,76.5
U0202,32,Female,Employed,Remote,12.04,8.72,3.33,7.78,3,6.7,44.2,39.0,10.9,49.8
U0203,58,Female,Employed,Office,6.86,4.35,2.51,6.25,2,4.8,37.8,82.0,10.9,39.2
U0204,52,Female,Employed,Remote,10.1,8.31,1.79,7.29,3,6.0,41.8,129.0,7.7,41.3
U0205,70,Male,Employed,Office,9.36,7.37,2.0,8.1,5,4.8,49.9,179.0,10.4,67.7
U0206,24,Female,Employed,Remote,13.28,8.13,5.16,6.85,3,6.2,57.9,224.0,5.2,33.5
U0207,41,Male,Employed,Remote,9.85,6.12,3.73,8.62,3,3.2,63.0,77.0,9.8,80.2
U0208,40,Male,Employed,Hybrid,7.42,4.89,2.53,7.68,4,4.9,80.5,93.0,5.1,64.5
U0209,24,Female,Employed,Office,11.01,6.3,4.71,8.82,2,2.8,61.6,150.0,7.6,54.4
U0210,42,Male,Unemployed,N/A,2.38,1.02,1.37,8.1,5,3.9,97.9,261.0,10.2,92.0
U0211,21,Male,Self-employed,Hybrid,12.68,8.18,4.5,7.11,4,2.7,80.1,99.0,9.1,66.4
U0212,31,Female,Employed,Remote,12.42,9.36,3.06,6.8,2,6.5,47.6,97.0,11.5,33.0
U0213,37,Male,Employed,Office,5.48,4.66,0.82,8.37,3,1.9,64.3,130.0,11.6,84.1
U0214,31,Female,Self-employed,Remote,9.85,7.8,2.04,7.06,5,5.7,77.8,168.0,14.3,74.7
U0215,44,Female,Employed,Office,12.04,6.44,5.61,7.45,2,5.2,52.7,112.0,10.3,47.4
U0216,52,Female,Unemployed,N/A,6.94,1.93,5.01,7.58,5,2.8,63.6,145.0,9.5,75.0
U0217,30,Female,Employed,Remote,9.49,5.39,4.1,6.89,3,5.6,63.6,219.0,7.9,46.8
U0218,45,Female,Student,Hybrid,5.84,3.27,2.57,7.01,4,5.0,69.5,263.0,7.5,67.3
U0219,26,Male,Student,Hybrid,8.53,5.37,3.16,7.37,3,5.1,51.5,78.0,10.6,55.6
U0220,31,Female,Employed,Office,9.51,4.8,4.72,6.71,2,4.9,40.6,203.0,11.9,46.3
U0221,34,Female,Student,Hybrid,6.19,4.3,1.89,8.33,3,4.6,78.3,287.0,12.3,81.6
U0222,47,Female,Student,Hybrid,9.86,7.15,2.7,6.14,3,5.1,57.6,174.0,3.6,50.2
U0223,27,Male,Student,Office,9.35,4.69,4.66,7.17,3,7.3,62.6,160.0,12.4,45.0
U0224,29,Female,Student,Remote,10.42,3.9,6.52,7.9,2,4.4,63.3,237.0,12.5,61.2
U0225,35,Female,Employed,Remote,9.53,8.34,1.19,7.7,5,8.2,60.7,251.0,7.7,56.7
U0226,29,Male,Student,Office,9.99,5.0,4.99,7.55,5,3.8,81.5,188.0,7.8,73.3
U0227,38,Other,Employed,Office,10.07,6.73,3.34,6.8,2,5.1,31.7,104.0,9.3,38.3
U0228,31,Male,Employed,Office,6.0,2.95,3.06,7.31,3,5.2,49.3,181.0,10.0,47.3
U0229,29,Male,Self-employed,Remote,11.97,6.86,5.11,6.6,2,5.5,26.0,69.0,10.9,31.2
U0230,38,Female,Employed,Remote,10.15,5.36,4.79,6.5,3,5.0,53.2,203.0,8.2,48.4
U0231,55,Female,Student,Office,6.69,4.02,2.67,8.34,4,3.1,61.7,250.0,11.3,78.0
U0232,55,Female,Self-employed,Hybrid,10.82,5.95,4.87,6.66,3,2.2,79.8,123.0,9.6,74.4
U0233,61,Male,Student,Hybrid,6.1,4.26,1.83,8.11,4,2.9,66.8,158.0,9.9,72.1
U0234,45,Female,Retired,N/A,4.26,0.45,3.81,9.04,4,0.0,92.3,243.0,10.6,100.0
U0235,41,Male,Employed,Office,6.33,4.03,2.3,7.04,3,4.6,65.8,228.0,15.2,64.8
U0236,20,Male,Employed,Hybrid,7.56,4.6,2.96,7.8,4,3.8,71.7,282.0,10.4,66.8
U0237,58,Other,Self-employed,Hybrid,6.35,3.7,2.65,8.05,3,2.7,69.1,138.0,18.9,79.1
U0238,45,Female,Employed,Remote,10.44,4.37,6.07,6.9,2,4.8,49.2,50.0,8.9,39.0
U0239,25,Male,Self-employed,Hybrid,8.47,5.41,3.06,7.72,5,5.5,66.6,106.0,12.4,65.9
U0240,33,Male,Self-employed,Hybrid,9.89,5.06,4.83,7.06,5,4.5,74.8,182.0,10.7,66.4
U0241,20,Female,Unemployed,N/A,6.03,1.57,4.46,8.22,3,5.4,62.4,298.0,9.1,50.9
U0242,30,Male,Self-employed,Office,7.6,5.56,2.04,6.68,4,5.4,56.6,191.0,1.5,41.4
U0243,49,Female,Student,Office,9.92,5.67,4.25,7.77,3,3.1,65.9,256.0,13.3,79.3
U0244,21,Male,Employed,Remote,7.36,6.25,1.12,7.78,3,7.3,35.9,75.0,9.8,49.9
U0245,45,Male,Self-employed,Office,13.06,6.71,6.34,7.39,4,2.6,66.6,47.0,9.3,59.2
U0246,63,Male,Retired,N/A,5.8,1.76,4.04,7.89,4,0.5,75.8,108.0,14.2,90.1
U0247,29,Male,Student,Hybrid,8.9,4.28,4.62,6.3,2,1.9,62.8,228.0,12.5,52.3
